'FDSE,'SimpleAttackStrategy,113
'SFDE,'SimpleAttackStrategy,66
'DEFS,'CounterAndMonopolizeStrategy,79
'SEDF,'AttackAndMonopolizeStrategy,62
'EFDS,'SimpleAttackStrategy,122
'SFDE,'ChainCounterStrategy,88
'DSEF,'AttackAndMonopolizeStrategy,52
'ESFD,'AttackAndMonopolizeStrategy,70
'SDEF,'DebuffAndMonopolizeStrategy,54
'FSDE,'AttackAndMonopolizeStrategy,90
'SFED,'SimpleAttackStrategy,77
'SDFE,'CounterAndMonopolizeStrategy,59
'FEDS,'DebuffAndMonopolizeStrategy,46
'EDFS,'SimpleAttackStrategy,115
'SFED,'ChainCounterStrategy,128
'FDSE,'ChainCounterStrategy,81
'EFDS,'ChainCounterStrategy,173
'FSDE,'ChainCounterStrategy,92
'DEFS,'AttackAndMonopolizeStrategy,79
'FESD,'DebuffAndMonopolizeStrategy,48
'EDSF,'AttackAndMonopolizeStrategy,86
'SDFE,'AttackAndMonopolizeStrategy,32
'EDFS,'CounterAndMonopolizeStrategy,109
'SDEF,'ChainCounterStrategy,88
'EDFS,'ChainCounterStrategy,140
'DSEF,'CounterAndMonopolizeStrategy,80
'DFES,'DebuffAndMonopolizeStrategy,60
'SDFE,'SimpleAttackStrategy,41
'SFED,'AttackAndMonopolizeStrategy,59
'DESF,'DebuffAndMonopolizeStrategy,69
'SFDE,'AttackAndMonopolizeStrategy,39
'ESFD,'ChainCounterStrategy,165
'SEFD,'DebuffAndMonopolizeStrategy,49
'DEFS,'ChainCounterStrategy,117
'DESF,'CounterAndMonopolizeStrategy,80
'FDES,'AttackAndMonopolizeStrategy,130
'FEDS,'SimpleAttackStrategy,173
'EFSD,'CounterAndMonopolizeStrategy,63
'EFSD,'ChainCounterStrategy,128
'DESF,'SimpleAttackStrategy,67
'EFSD,'DebuffAndMonopolizeStrategy,40
'DESF,'ChainCounterStrategy,120
'DESF,'AttackAndMonopolizeStrategy,77
'EDFS,'DebuffAndMonopolizeStrategy,68
'DFSE,'ChainCounterStrategy,61
'EFDS,'AttackAndMonopolizeStrategy,88
'FSED,'ChainCounterStrategy,121
'FDSE,'CounterAndMonopolizeStrategy,63
'ESDF,'SimpleAttackStrategy,101
'DSFE,'DebuffAndMonopolizeStrategy,39
'FSED,'CounterAndMonopolizeStrategy,66
'DFSE,'DebuffAndMonopolizeStrategy,52
'DSFE,'ChainCounterStrategy,60
'SDFE,'DebuffAndMonopolizeStrategy,49
'DFES,'AttackAndMonopolizeStrategy,83
'SEFD,'CounterAndMonopolizeStrategy,57
'FDES,'CounterAndMonopolizeStrategy,71
'FSDE,'CounterAndMonopolizeStrategy,59
'FSDE,'SimpleAttackStrategy,133
'FDES,'SimpleAttackStrategy,150
'ESDF,'AttackAndMonopolizeStrategy,86
'DEFS,'SimpleAttackStrategy,101
'DSEF,'SimpleAttackStrategy,53
'FSED,'AttackAndMonopolizeStrategy,96
'SEDF,'DebuffAndMonopolizeStrategy,55
'FESD,'AttackAndMonopolizeStrategy,118
'SEDF,'ChainCounterStrategy,130
'FEDS,'AttackAndMonopolizeStrategy,145
'SEFD,'SimpleAttackStrategy,92
'SDEF,'AttackAndMonopolizeStrategy,43
'DSEF,'DebuffAndMonopolizeStrategy,56
'FSDE,'DebuffAndMonopolizeStrategy,35
'DFSE,'CounterAndMonopolizeStrategy,52
'ESFD,'DebuffAndMonopolizeStrategy,49
'EDSF,'ChainCounterStrategy,162
'EFDS,'CounterAndMonopolizeStrategy,76
'SEFD,'ChainCounterStrategy,135
'SDEF,'CounterAndMonopolizeStrategy,75
'ESFD,'CounterAndMonopolizeStrategy,68
'FDES,'DebuffAndMonopolizeStrategy,70
'DFES,'SimpleAttackStrategy,95
'DSFE,'SimpleAttackStrategy,38
'SFDE,'DebuffAndMonopolizeStrategy,25
'FESD,'CounterAndMonopolizeStrategy,90
'DFSE,'SimpleAttackStrategy,51
'EDSF,'SimpleAttackStrategy,92
'DSFE,'AttackAndMonopolizeStrategy,55
'FESD,'ChainCounterStrategy,147
'DSEF,'ChainCounterStrategy,82
'SEDF,'SimpleAttackStrategy,67
'EFSD,'AttackAndMonopolizeStrategy,78
'FDES,'ChainCounterStrategy,104
'SFDE,'CounterAndMonopolizeStrategy,49
'EDFS,'AttackAndMonopolizeStrategy,113
'FDSE,'AttackAndMonopolizeStrategy,118
'ESDF,'ChainCounterStrategy,165
'FDSE,'DebuffAndMonopolizeStrategy,53
'FSED,'SimpleAttackStrategy,148
'ESDF,'DebuffAndMonopolizeStrategy,60
'SEFD,'AttackAndMonopolizeStrategy,64
'DFES,'CounterAndMonopolizeStrategy,45
'FSED,'DebuffAndMonopolizeStrategy,49
'EFSD,'SimpleAttackStrategy,141
'EDSF,'CounterAndMonopolizeStrategy,91
'SDEF,'SimpleAttackStrategy,50
'SDFE,'ChainCounterStrategy,76
'DSFE,'CounterAndMonopolizeStrategy,44
'EDSF,'DebuffAndMonopolizeStrategy,55
'ESDF,'CounterAndMonopolizeStrategy,99
'SFED,'DebuffAndMonopolizeStrategy,29
'ESFD,'SimpleAttackStrategy,107
'DEFS,'DebuffAndMonopolizeStrategy,73
'FEDS,'ChainCounterStrategy,150
'SEDF,'CounterAndMonopolizeStrategy,83
'FESD,'SimpleAttackStrategy,161
'EFDS,'DebuffAndMonopolizeStrategy,45
'DFSE,'AttackAndMonopolizeStrategy,63
'FEDS,'CounterAndMonopolizeStrategy,84
'SFED,'CounterAndMonopolizeStrategy,48
'DFES,'ChainCounterStrategy,89
